Gen 132 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 133 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen 134 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 135 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 136 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 137 | loss=0.0000 | f1=0.0631 prec=0.0372 rec=0.2078 jacc=0.0326 | nodes=80/80 edges=1426/255
Gen 138 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 139 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 140 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 141 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 142 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 143 | loss=0.0000 | f1=0.0595 prec=0.0347 rec=0.2078 jacc=0.0307 | nodes=80/80 edges=1526/255
Gen 144 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen 145 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 146 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 147 | loss=0.0000 | f1=0.0617 prec=0.0363 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1462/255
Gen 148 | loss=0.0000 | f1=0.0647 prec=0.0382 rec=0.2118 jacc=0.0334 | nodes=80/80 edges=1414/255
Gen 149 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen 150 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 151 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen 152 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen 153 | loss=0.0000 | f1=0.0616 prec=0.0362 rec=0.2078 jacc=0.0318 | nodes=80/80 edges=1466/255
Gen 154 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 155 | loss=0.0000 | f1=0.0617 prec=0.0363 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1462/255
Gen 156 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen 157 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen 158 | loss=0.0000 | f1=0.0647 prec=0.0382 rec=0.2118 jacc=0.0334 | nodes=80/80 edges=1414/255
Gen 159 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 160 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 161 | loss=0.0000 | f1=0.0616 prec=0.0362 rec=0.2078 jacc=0.0318 | nodes=80/80 edges=1466/255
Gen 162 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 163 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 164 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen 165 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen 166 | loss=0.0000 | f1=0.0709 prec=0.0420 rec=0.2275 jacc=0.0367 | nodes=80/80 edges=1382/255
Gen 167 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen 168 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen 169 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen 170 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
